emojis,answer
⚡🧙‍♂️,Harry Potter
👨‍🍳🤌,Chef
🍎📱,iPhone
🦁👑🎥,Lion King
🎃👻,Halloween
🎄🎁,Christmas
💍👰,wedding
🎓🎉,graduation
🎮🖥️,gaming
🐰👮‍♀️🦊🌆🥕🫐,Zootopia
🟡👖😎🍌🌕,Minions
🦖🌋🏞️,Jurassic Park
🚢❄️💔🎶🎥,Titanic
👩‍🚀🚀🌌🎬,Interstellar
👸❄️👑⛄🎶,Frozen
🐉🔥⚔️👑,Game of Thrones
🦸‍♂️🦸‍♀️⚡💥📺,The Boys
🎤🕺✨👑,Michael Jackson
🦸‍♂️🕷️🕸️🏙️,Spider-Man
🧙‍♂️💍🏔️,Lord of the Rings
🐝🎶💃🏾,Beyonce
👻🚫,Ghostbusters
👨‍🍳🐭🎬, Ratatouille
🧞‍♂️🕌,Aladdin
🦃🍂🥧,Thanksgiving
🎇🇨🇳🧧,Lunar New Year
🍔🍟🥤,McDonalds
🕹️🧱,Tetris
🧛‍♂️❤️🧛‍♀️,Twilight
🦇🌃,Batman
🦈🌊,Jaws
🐵👑🌍,King Kong
🐠🔍🐟,Finding Nemo
🏹🔥👧,The Hunger Games
🐸👑💍,The Princess and the Frog
🦖🦕🏞️,Good Dinosaur
🦁🦓🐘,Madagascar
🧪💊🧑‍🔬,Breaking Bad
🏈🍗🍺,Super Bowl
👧♾️🐚🌊💖👦👦,The Summer I Turned Pretty
🐺🌕🌲,Werewolf
🐼🎋🏯,Kung Fu Panda
🎸👨‍🎤,Elvis
🍕🍝🧀,Italy
🍣⛩️🌸🗻,Japan
🌮🥑🌶️,Mexico
🏎️💨🏁,F1
🗽🍎,New York
🗼🥖🥐,Paris
🧚‍♀️✨,Tinkerbell
🏃‍♂️💪🧘‍♀️,Exercise
🛏️💤🌙,Sleep
🍳🥓🍞☕,Breakfast
🎧🗣️📱,Podcast
📱💬,Texting
🦸‍♂️🛡️,Captain America
🐻🍯,Winnie the Pooh
🎮🧟,Resident Evil
🏀🐐,Michael Jordan
🦸‍♀️⚡,Wonder Woman
🧛‍♂️🩸,Dracula
🕶️🕵️‍♂️💊,Neo
⚽🇵🇹,Ronaldo
🏌️‍♂️🏆,Tiger Woods
🏈🔥👨,Tom Brady
👸💛🐻🌹,Beauty and the Beast
👸🍎🪞,Snow White
👸🧚‍♀️👗👠🕛,Cinderella
😁🤢😭😡😨🎥,Inside Out
🎈🏠👴👦🐶,Up
👸🐻🏹🪨,Brave
👧🎀🧹🐈‍⬛🍞,Kiki's Delivery Service
👸🏰🧙‍♀️💇‍♀️🕯️🛶🦎,Rapunzel
🧱⛏️💎🧟💀👾,Minecraft
👸🛏️🫛,Princess and the Pea
🐷🐷🐷🏠🐺,Three Little Pigs
👧🔴🐺👵🏼,Red Riding Hood
👧🐻🐻🐻🥣🪑🛏️,Goldilocks
👧🕳️🐰♥️♣️,Alice in Wonderland
